Date,USDBRL
01/01/2009,"2,324"
02/01/2009,"2,313"
05/01/2009,"2,2165"
06/01/2009,"2,139"
07/01/2009,"2,1725"
08/01/2009,"2,2146"
09/01/2009,"2,2431"
12/01/2009,"2,272"
13/01/2009,"2,2483"
14/01/2009,"2,3051"
15/01/2009,"2,3226"
16/01/2009,"2,29"
19/01/2009,"2,2825"
20/01/2009,"2,3125"
21/01/2009,"2,3038"
22/01/2009,"2,3003"
23/01/2009,"2,3002"
26/01/2009,"2,2638"
27/01/2009,"2,267"
28/01/2009,"2,237"
29/01/2009,"2,24"
30/01/2009,"2,263"
02/02/2009,"2,34"
03/02/2009,"2,307"
04/02/2009,"2,2869"
05/02/2009,"2,29"
06/02/2009,"2,2593"
09/02/2009,"2,2385"
10/02/2009,"2,2635"
11/02/2009,"2,2598"
12/02/2009,"2,286"
13/02/2009,"2,256"
16/02/2009,"2,266"
17/02/2009,"2,315"
18/02/2009,"2,349"
19/02/2009,"2,3533"
20/02/2009,"2,3905"
23/02/2009,"2,379"
24/02/2009,"2,383"
25/02/2009,"2,394"
26/02/2009,"2,344"
27/02/2009,"2,369"
02/03/2009,"2,437"
03/03/2009,"2,439"
04/03/2009,"2,371"
05/03/2009,"2,378"
06/03/2009,"2,3724"
09/03/2009,"2,3652"
10/03/2009,"2,3434"
11/03/2009,"2,3368"
12/03/2009,"2,3182"
13/03/2009,"2,3065"
16/03/2009,"2,2095"
17/03/2009,"2,2759"
18/03/2009,"2,2997"
19/03/2009,"2,251"
20/03/2009,"2,264"
23/03/2009,"2,27"
24/03/2009,"2,2439"
25/03/2009,"2,2387"
26/03/2009,"2,2354"
27/03/2009,"2,2754"
30/03/2009,"2,323"
31/03/2009,"2,307"
01/04/2009,"2,2785"
02/04/2009,"2,227"
03/04/2009,"2,1993"
06/04/2009,"2,2215"
07/04/2009,"2,2259"
08/04/2009,"2,1973"
09/04/2009,"2,175"
10/04/2009,"2,1811"
14/04/2009,"2,1771"
15/04/2009,"2,194"
16/04/2009,"2,177"
17/04/2009,"2,1826"
20/04/2009,"2,2303"
21/04/2009,"2,239"
22/04/2009,"2,201"
23/04/2009,"2,2075"
24/04/2009,"2,1935"
27/04/2009,"2,1962"
28/04/2009,"2,1543"
29/04/2009,"2,1591"
30/04/2009,"2,1689"
01/05/2009,"2,18"
04/05/2009,"2,1326"
05/05/2009,"2,1469"
06/05/2009,"2,1115"
07/05/2009,"2,1033"
08/05/2009,"2,073"
11/05/2009,"2,0498"
12/05/2009,"2,0595"
13/05/2009,"2,1009"
14/05/2009,"2,0985"
15/05/2009,"2,0784"
18/05/2009,"2,0772"
19/05/2009,"2,0448"
20/05/2009,"2,0174"
21/05/2009,"2,0375"
22/05/2009,"2,0238"
25/05/2009,"2,0201"
26/05/2009,"2,0337"
27/05/2009,"2,012"
28/05/2009,"2,0042"
29/05/2009,"1,9653"
02/06/2009,"1,941"
03/06/2009,"1,9452"
04/06/2009,"1,9421"
05/06/2009,"1,956"
08/06/2009,"1,9751"
09/06/2009,"1,9426"
10/06/2009,"1,9477"
11/06/2009,"1,947"
12/06/2009,"1,9205"
15/06/2009,"1,9575"
16/06/2009,"1,9675"
17/06/2009,"1,979"
18/06/2009,"1,911"
19/06/2009,"1,9511"
22/06/2009,"2,012"
23/06/2009,2
24/06/2009,"1,962"
25/06/2009,"1,9606"
26/06/2009,"1,93"
29/06/2009,"1,9542"
30/06/2009,"1,9628"
01/07/2009,"1,9268"
02/07/2009,"1,9533"
03/07/2009,"1,9508"
04/07/2009,"1,9509"
05/07/2009,"1,9033"
06/07/2009,"1,9708"
07/07/2009,"1,965"
08/07/2009,"2,0012"
09/07/2009,"1,9425"
10/07/2009,"2,0127"
11/07/2009,"1,9644"
13/07/2009,"1,9874"
14/07/2009,"1,9664"
15/07/2009,"1,9331"
16/07/2009,"1,9291"
17/07/2009,"1,9257"
18/07/2009,"1,9256"
20/07/2009,"1,904"
21/07/2009,"1,906"
22/07/2009,"1,9022"
23/07/2009,"1,8848"
24/07/2009,"1,8937"
25/07/2009,"1,8937"
27/07/2009,"1,8805"
28/07/2009,"1,881"
29/07/2009,"1,899"
30/07/2009,"1,8765"
31/07/2009,"1,8635"
03/08/2009,"1,8331"
04/08/2009,"1,8306"
05/08/2009,"1,832"
06/08/2009,"1,8278"
07/08/2009,"1,8232"
08/08/2009,"1,7708"
10/08/2009,"1,845"
11/08/2009,"1,8508"
12/08/2009,"1,833"
13/08/2009,"1,8303"
14/08/2009,"1,8415"
15/08/2009,"1,8413"
16/08/2009,"1,8"
17/08/2009,"1,8"
18/08/2009,"1,8"
19/08/2009,"1,8604"
20/08/2009,"1,84"
21/08/2009,"1,829"
22/08/2009,"1,8092"
23/08/2009,"1,8092"
24/08/2009,"1,7833"
25/08/2009,"1,8373"
26/08/2009,"1,872"
27/08/2009,"1,8794"
28/08/2009,"1,8233"
29/08/2009,"1,8233"
30/08/2009,"1,8314"
31/08/2009,"1,874"
01/09/2009,"1,913"
02/09/2009,"1,888"
03/09/2009,"1,8665"
04/09/2009,"1,8432"
05/09/2009,"1,8434"
07/09/2009,"1,8398"
08/09/2009,"1,8233"
09/09/2009,"1,836"
10/09/2009,"1,816"
11/09/2009,"1,8085"
14/09/2009,"1,814"
15/09/2009,"1,8036"
16/09/2009,"1,7964"
17/09/2009,"1,8074"
18/09/2009,"1,8062"
19/09/2009,"1,806"
20/09/2009,"1,7593"
21/09/2009,"1,7643"
22/09/2009,"1,803"
23/09/2009,"1,7878"
24/09/2009,"1,7535"
25/09/2009,"1,799"
26/09/2009,"1,7503"
27/09/2009,"1,7503"
28/09/2009,"1,7413"
29/09/2009,"1,7846"
30/09/2009,"1,7721"
01/10/2009,"1,7796"
02/10/2009,"1,7789"
03/10/2009,"1,7789"
04/10/2009,"1,7333"
05/10/2009,"1,7683"
06/10/2009,"1,747"
07/10/2009,"1,7584"
08/10/2009,"1,738"
09/10/2009,"1,7377"
10/10/2009,"1,6875"
11/10/2009,"1,6875"
12/10/2009,"1,7397"
13/10/2009,"1,7293"
14/10/2009,"1,7034"
15/10/2009,"1,7015"
16/10/2009,"1,7049"
17/10/2009,"1,6701"
18/10/2009,"1,6595"
19/10/2009,"1,7067"
20/10/2009,"1,7525"
21/10/2009,"1,7307"
22/10/2009,"1,7244"
23/10/2009,"1,7144"
26/10/2009,"1,7158"
27/10/2009,"1,732"
28/10/2009,"1,7542"
29/10/2009,"1,733"
30/10/2009,"1,7518"
31/10/2009,"1,7046"
02/11/2009,"1,7608"
03/11/2009,"1,7405"
04/11/2009,"1,717"
05/11/2009,"1,7205"
06/11/2009,"1,7151"
09/11/2009,"1,6979"
10/11/2009,"1,7083"
11/11/2009,"1,7172"
12/11/2009,"1,7337"
13/11/2009,"1,7234"
16/11/2009,"1,708"
17/11/2009,"1,71"
18/11/2009,"1,716"
19/11/2009,"1,73"
20/11/2009,"1,7327"
23/11/2009,"1,7265"
24/11/2009,"1,7284"
25/11/2009,"1,731"
26/11/2009,"1,7513"
27/11/2009,"1,7425"
30/11/2009,"1,7477"
01/12/2009,"1,7246"
02/12/2009,"1,717"
03/12/2009,"1,704"
04/12/2009,"1,7212"
07/12/2009,"1,724"
08/12/2009,"1,7479"
09/12/2009,"1,7603"
10/12/2009,"1,7697"
11/12/2009,"1,7591"
14/12/2009,"1,7445"
15/12/2009,"1,7506"
16/12/2009,"1,7443"
17/12/2009,"1,7903"
18/12/2009,"1,7865"
21/12/2009,"1,7795"
22/12/2009,"1,7796"
23/12/2009,"1,7615"
24/12/2009,"1,7272"
28/12/2009,"1,736"
29/12/2009,"1,736"
30/12/2009,"1,739"
31/12/2009,"1,743"
04/01/2010,"1,719"
05/01/2010,"1,737"
06/01/2010,"1,7315"
07/01/2010,"1,7389"
08/01/2010,"1,732"
11/01/2010,"1,731"
12/01/2010,"1,7373"
13/01/2010,"1,7459"
14/01/2010,"1,7641"
15/01/2010,"1,7644"
18/01/2010,"1,7633"
19/01/2010,"1,7742"
20/01/2010,"1,7895"
21/01/2010,"1,8008"
22/01/2010,"1,8188"
25/01/2010,"1,7835"
26/01/2010,"1,8336"
27/01/2010,"1,8496"
28/01/2010,"1,868"
29/01/2010,"1,8729"
01/02/2010,"1,8624"
02/02/2010,"1,8304"
03/02/2010,"1,85"
04/02/2010,"1,8804"
05/02/2010,"1,8827"
08/02/2010,"1,8715"
09/02/2010,"1,843"
10/02/2010,"1,8506"
11/02/2010,"1,8515"
12/02/2010,"1,8585"
15/02/2010,"1,8514"
16/02/2010,"1,8425"
17/02/2010,"1,833"
